# Iran 2800 (4th Ed.) — Zone 1 (A=0.35g), Soil II, I=1.0
    Period [sec]	          Sa [g]
          0.0000	        0.350000
          0.0080	        0.378056
          0.0160	        0.406112
          0.0240	        0.434168
          0.0321	        0.462224
          0.0401	        0.490281
          0.0481	        0.518337
          0.0561	        0.546393
          0.0641	        0.574449
          0.0721	        0.602505
          0.0802	        0.630561
          0.0882	        0.658617
          0.0962	        0.686673
          0.1042	        0.714729
          0.1122	        0.742786
          0.1202	        0.770842
          0.1283	        0.798898
          0.1363	        0.826954
          0.1443	        0.855010
          0.1500	        0.875000
          0.1523	        0.875000
          0.1603	        0.875000
          0.1683	        0.875000
          0.1764	        0.875000
          0.1844	        0.875000
          0.1924	        0.875000
          0.2004	        0.875000
          0.2084	        0.875000
          0.2164	        0.875000
          0.2244	        0.875000
          0.2325	        0.875000
          0.2405	        0.875000
          0.2485	        0.875000
          0.2565	        0.875000
          0.2645	        0.875000
          0.2725	        0.875000
          0.2806	        0.875000
          0.2886	        0.875000
          0.2966	        0.875000
          0.3046	        0.875000
          0.3126	        0.875000
          0.3206	        0.875000
          0.3287	        0.875000
          0.3367	        0.875000
          0.3447	        0.875000
          0.3527	        0.875000
          0.3607	        0.875000
          0.3687	        0.875000
          0.3768	        0.875000
          0.3848	        0.875000
          0.3928	        0.875000
          0.4008	        0.875000
          0.4088	        0.875000
          0.4168	        0.875000
          0.4248	        0.875000
          0.4329	        0.875000
          0.4409	        0.875000
          0.4489	        0.875000
          0.4569	        0.875000
          0.4649	        0.875000
          0.4729	        0.875000
          0.4810	        0.875000
          0.4890	        0.875000
          0.4970	        0.875000
          0.5000	        0.875000
          0.5050	        0.866319
          0.5130	        0.852783
          0.5210	        0.839663
          0.5291	        0.826941
          0.5371	        0.814599
          0.5451	        0.802619
          0.5531	        0.790987
          0.5611	        0.779687
          0.5691	        0.768706
          0.5772	        0.758030
          0.5852	        0.747646
          0.5932	        0.737542
          0.6012	        0.727708
          0.6092	        0.718133
          0.6172	        0.708807
          0.6253	        0.699720
          0.6333	        0.690862
          0.6413	        0.682227
          0.6493	        0.673804
          0.6573	        0.665587
          0.6653	        0.657568
          0.6733	        0.649740
          0.6814	        0.642096
          0.6894	        0.634629
          0.6974	        0.627335
          0.7054	        0.620206
          0.7134	        0.613237
          0.7214	        0.606424
          0.7295	        0.599760
          0.7375	        0.593240
          0.7455	        0.586862
          0.7535	        0.580618
          0.7615	        0.574507
          0.7695	        0.568522
          0.7776	        0.562661
          0.7856	        0.556920
          0.7936	        0.551294
          0.8016	        0.545781
          0.8096	        0.540377
          0.8176	        0.535080
          0.8257	        0.529885
          0.8337	        0.524790
          0.8417	        0.519792
          0.8497	        0.514888
          0.8577	        0.510076
          0.8657	        0.505353
          0.8737	        0.500717
          0.8818	        0.496165
          0.8898	        0.491695
          0.8978	        0.487305
          0.9058	        0.482992
          0.9138	        0.478755
          0.9218	        0.474592
          0.9299	        0.470501
          0.9379	        0.466480
          0.9459	        0.462526
          0.9539	        0.458640
          0.9619	        0.454818
          0.9699	        0.451059
          0.9780	        0.447362
          0.9860	        0.443725
          0.9940	        0.440146
          1.0020	        0.436625
          1.0100	        0.433160
          1.0180	        0.429749
          1.0261	        0.426392
          1.0341	        0.423086
          1.0421	        0.419832
          1.0501	        0.416627
          1.0581	        0.413471
          1.0661	        0.410362
          1.0741	        0.407299
          1.0822	        0.404282
          1.0902	        0.401310
          1.0982	        0.398380
          1.1062	        0.395494
          1.1142	        0.392648
          1.1222	        0.389844
          1.1303	        0.387079
          1.1383	        0.384353
          1.1463	        0.381665
          1.1543	        0.379015
          1.1623	        0.376401
          1.1703	        0.373823
          1.1784	        0.371280
          1.1864	        0.368771
          1.1944	        0.366296
          1.2024	        0.363854
          1.2104	        0.361445
          1.2184	        0.359067
          1.2265	        0.356720
          1.2345	        0.354403
          1.2425	        0.352117
          1.2505	        0.349860
          1.2585	        0.347631
          1.2665	        0.345431
          1.2745	        0.343259
          1.2826	        0.341113
          1.2906	        0.338995
          1.2986	        0.336902
          1.3066	        0.334835
          1.3146	        0.332793
          1.3226	        0.330777
          1.3307	        0.328784
          1.3387	        0.326815
          1.3467	        0.324870
          1.3547	        0.322947
          1.3627	        0.321048
          1.3707	        0.319170
          1.3788	        0.317315
          1.3868	        0.315480
          1.3948	        0.313667
          1.4028	        0.311875
          1.4108	        0.310103
          1.4188	        0.308351
          1.4269	        0.306619
          1.4349	        0.304906
          1.4429	        0.303212
          1.4509	        0.301537
          1.4589	        0.299880
          1.4669	        0.298241
          1.4749	        0.296620
          1.4830	        0.295017
          1.4910	        0.293431
          1.4990	        0.291862
          1.5070	        0.290309
          1.5150	        0.288773
          1.5230	        0.287253
          1.5311	        0.285749
          1.5391	        0.284261
          1.5471	        0.282788
          1.5551	        0.281331
          1.5631	        0.279888
          1.5711	        0.278460
          1.5792	        0.277046
          1.5872	        0.275647
          1.5952	        0.274262
          1.6032	        0.272891
          1.6112	        0.271533
          1.6192	        0.270189
          1.6273	        0.268858
          1.6353	        0.267540
          1.6433	        0.266235
          1.6513	        0.264942
          1.6593	        0.263662
          1.6673	        0.262395
          1.6754	        0.261139
          1.6834	        0.259896
          1.6914	        0.258664
          1.6994	        0.257444
          1.7074	        0.256235
          1.7154	        0.255038
          1.7234	        0.253852
          1.7315	        0.252677
          1.7395	        0.251512
          1.7475	        0.250358
          1.7555	        0.249215
          1.7635	        0.248082
          1.7715	        0.246960
          1.7796	        0.245847
          1.7876	        0.244745
          1.7956	        0.243652
          1.8036	        0.242569
          1.8116	        0.241496
          1.8196	        0.240432
          1.8277	        0.239378
          1.8357	        0.238332
          1.8437	        0.237296
          1.8517	        0.236269
          1.8597	        0.235251
          1.8677	        0.234241
          1.8758	        0.233240
          1.8838	        0.232247
          1.8918	        0.231263
          1.8998	        0.230287
          1.9078	        0.229320
          1.9158	        0.228360
          1.9238	        0.227409
          1.9319	        0.226465
          1.9399	        0.225529
          1.9479	        0.224601
          1.9559	        0.223681
          1.9639	        0.222768
          1.9719	        0.221862
          1.9800	        0.220964
          1.9880	        0.220073
          1.9960	        0.219189
          2.0040	        0.218312
          2.0120	        0.217443
          2.0200	        0.216580
          2.0281	        0.215724
          2.0361	        0.214875
          2.0441	        0.214032
          2.0521	        0.213196
          2.0601	        0.212366
          2.0681	        0.211543
          2.0762	        0.210726
          2.0842	        0.209916
          2.0922	        0.209112
          2.1002	        0.208313
          2.1082	        0.207521
          2.1162	        0.206735
          2.1242	        0.205955
          2.1323	        0.205181
          2.1403	        0.204412
          2.1483	        0.203650
          2.1563	        0.202893
          2.1643	        0.202141
          2.1723	        0.201395
          2.1804	        0.200655
          2.1884	        0.199920
          2.1964	        0.199190
          2.2044	        0.198466
          2.2124	        0.197747
          2.2204	        0.197033
          2.2285	        0.196324
          2.2365	        0.195621
          2.2445	        0.194922
          2.2525	        0.194228
          2.2605	        0.193539
          2.2685	        0.192856
          2.2766	        0.192176
          2.2846	        0.191502
          2.2926	        0.190833
          2.3006	        0.190168
          2.3086	        0.189507
          2.3166	        0.188852
          2.3246	        0.188200
          2.3327	        0.187554
          2.3407	        0.186911
          2.3487	        0.186273
          2.3567	        0.185640
          2.3647	        0.185011
          2.3727	        0.184386
          2.3808	        0.183765
          2.3888	        0.183148
          2.3968	        0.182536
          2.4048	        0.181927
          2.4128	        0.181323
          2.4208	        0.180722
          2.4289	        0.180126
          2.4369	        0.179533
          2.4449	        0.178945
          2.4529	        0.178360
          2.4609	        0.177779
          2.4689	        0.177202
          2.4770	        0.176628
          2.4850	        0.176058
          2.4930	        0.175492
          2.5010	        0.174930
          2.5090	        0.174371
          2.5170	        0.173816
          2.5251	        0.173264
          2.5331	        0.172716
          2.5411	        0.172171
          2.5491	        0.171629
          2.5571	        0.171091
          2.5651	        0.170557
          2.5731	        0.170025
          2.5812	        0.169497
          2.5892	        0.168973
          2.5972	        0.168451
          2.6052	        0.167933
          2.6132	        0.167418
          2.6212	        0.166906
          2.6293	        0.166397
          2.6373	        0.165891
          2.6453	        0.165388
          2.6533	        0.164889
          2.6613	        0.164392
          2.6693	        0.163898
          2.6774	        0.163408
          2.6854	        0.162920
          2.6934	        0.162435
          2.7014	        0.161953
          2.7094	        0.161474
          2.7174	        0.160997
          2.7255	        0.160524
          2.7335	        0.160053
          2.7415	        0.159585
          2.7495	        0.159120
          2.7575	        0.158657
          2.7655	        0.158197
          2.7735	        0.157740
          2.7816	        0.157286
          2.7896	        0.156834
          2.7976	        0.156384
          2.8056	        0.155938
          2.8136	        0.155493
          2.8216	        0.155051
          2.8297	        0.154612
          2.8377	        0.154175
          2.8457	        0.153741
          2.8537	        0.153309
          2.8617	        0.152880
          2.8697	        0.152453
          2.8778	        0.152028
          2.8858	        0.151606
          2.8938	        0.151186
          2.9018	        0.150768
          2.9098	        0.150353
          2.9178	        0.149940
          2.9259	        0.149529
          2.9339	        0.149121
          2.9419	        0.148714
          2.9499	        0.148310
          2.9579	        0.147908
          2.9659	        0.147508
          2.9739	        0.147111
          2.9820	        0.146715
          2.9900	        0.146322
          2.9980	        0.145931
          3.0060	        0.145542
          3.0140	        0.145155
          3.0220	        0.144770
          3.0301	        0.144387
          3.0381	        0.144006
          3.0461	        0.143627
          3.0541	        0.143250
          3.0621	        0.142875
          3.0701	        0.142502
          3.0782	        0.142131
          3.0862	        0.141761
          3.0942	        0.141394
          3.1022	        0.141029
          3.1102	        0.140665
          3.1182	        0.140304
          3.1263	        0.139944
          3.1343	        0.139586
          3.1423	        0.139230
          3.1503	        0.138876
          3.1583	        0.138523
          3.1663	        0.138172
          3.1743	        0.137824
          3.1824	        0.137476
          3.1904	        0.137131
          3.1984	        0.136787
          3.2064	        0.136445
          3.2144	        0.136105
          3.2224	        0.135766
          3.2305	        0.135430
          3.2385	        0.135094
          3.2465	        0.134761
          3.2545	        0.134429
          3.2625	        0.134099
          3.2705	        0.133770
          3.2786	        0.133443
          3.2866	        0.133117
          3.2946	        0.132793
          3.3026	        0.132471
          3.3106	        0.132150
          3.3186	        0.131831
          3.3267	        0.131514
          3.3347	        0.131197
          3.3427	        0.130883
          3.3507	        0.130570
          3.3587	        0.130258
          3.3667	        0.129948
          3.3747	        0.129639
          3.3828	        0.129332
          3.3908	        0.129026
          3.3988	        0.128722
          3.4068	        0.128419
          3.4148	        0.128118
          3.4228	        0.127818
          3.4309	        0.127519
          3.4389	        0.127222
          3.4469	        0.126926
          3.4549	        0.126631
          3.4629	        0.126338
          3.4709	        0.126046
          3.4790	        0.125756
          3.4870	        0.125467
          3.4950	        0.125179
          3.5030	        0.124893
          3.5110	        0.124608
          3.5190	        0.124324
          3.5271	        0.124041
          3.5351	        0.123760
          3.5431	        0.123480
          3.5511	        0.123201
          3.5591	        0.122924
          3.5671	        0.122647
          3.5752	        0.122372
          3.5832	        0.122099
          3.5912	        0.121826
          3.5992	        0.121555
          3.6072	        0.121285
          3.6152	        0.121016
          3.6232	        0.120748
          3.6313	        0.120482
          3.6393	        0.120216
          3.6473	        0.119952
          3.6553	        0.119689
          3.6633	        0.119427
          3.6713	        0.119166
          3.6794	        0.118907
          3.6874	        0.118648
          3.6954	        0.118391
          3.7034	        0.118134
          3.7114	        0.117879
          3.7194	        0.117625
          3.7275	        0.117372
          3.7355	        0.117120
          3.7435	        0.116870
          3.7515	        0.116620
          3.7595	        0.116371
          3.7675	        0.116124
          3.7756	        0.115877
          3.7836	        0.115632
          3.7916	        0.115387
          3.7996	        0.115144
          3.8076	        0.114901
          3.8156	        0.114660
          3.8236	        0.114420
          3.8317	        0.114180
          3.8397	        0.113942
          3.8477	        0.113704
          3.8557	        0.113468
          3.8637	        0.113233
          3.8717	        0.112998
          3.8798	        0.112765
          3.8878	        0.112532
          3.8958	        0.112301
          3.9038	        0.112070
          3.9118	        0.111840
          3.9198	        0.111612
          3.9279	        0.111384
          3.9359	        0.111157
          3.9439	        0.110931
          3.9519	        0.110706
          3.9599	        0.110482
          3.9679	        0.110259
          3.9760	        0.110037
          3.9840	        0.109815
          3.9920	        0.109595
          4.0000	        0.109375
