# T(s)	Sa(g)
    0.000000	  4.000000E-01
    0.010020	  4.536788E-01
    0.020040	  5.073576E-01
    0.030060	  5.610364E-01
    0.040080	  6.147151E-01
    0.050100	  6.683939E-01
    0.060120	  7.220727E-01
    0.070140	  7.757515E-01
    0.080160	  8.294303E-01
    0.090180	  8.831091E-01
    0.100200	  9.367879E-01
    0.110220	  9.904666E-01
    0.112000	  1.000000E+00
    0.120240	  1.000000E+00
    0.130261	  1.000000E+00
    0.140281	  1.000000E+00
    0.150301	  1.000000E+00
    0.160321	  1.000000E+00
    0.170341	  1.000000E+00
    0.180361	  1.000000E+00
    0.190381	  1.000000E+00
    0.200401	  1.000000E+00
    0.210421	  1.000000E+00
    0.220441	  1.000000E+00
    0.230461	  1.000000E+00
    0.240481	  1.000000E+00
    0.250501	  1.000000E+00
    0.260521	  1.000000E+00
    0.270541	  1.000000E+00
    0.280561	  1.000000E+00
    0.290581	  1.000000E+00
    0.300601	  1.000000E+00
    0.310621	  1.000000E+00
    0.320641	  1.000000E+00
    0.330661	  1.000000E+00
    0.340681	  1.000000E+00
    0.350701	  1.000000E+00
    0.360721	  1.000000E+00
    0.370741	  1.000000E+00
    0.380762	  1.000000E+00
    0.390782	  1.000000E+00
    0.400802	  1.000000E+00
    0.410822	  1.000000E+00
    0.420842	  1.000000E+00
    0.430862	  1.000000E+00
    0.440882	  1.000000E+00
    0.450902	  1.000000E+00
    0.460922	  1.000000E+00
    0.470942	  1.000000E+00
    0.480962	  1.000000E+00
    0.490982	  1.000000E+00
    0.501002	  1.000000E+00
    0.511022	  1.000000E+00
    0.521042	  1.000000E+00
    0.531062	  1.000000E+00
    0.541082	  1.000000E+00
    0.551102	  1.000000E+00
    0.560000	  1.000000E+00
    0.561122	  9.980000E-01
    0.571142	  9.804912E-01
    0.581162	  9.635862E-01
    0.591182	  9.472542E-01
    0.601202	  9.314667E-01
    0.611222	  9.161967E-01
    0.621242	  9.014194E-01
    0.631263	  8.871111E-01
    0.641283	  8.732500E-01
    0.651303	  8.598154E-01
    0.661323	  8.467879E-01
    0.671343	  8.341493E-01
    0.681363	  8.218824E-01
    0.691383	  8.099710E-01
    0.701403	  7.984000E-01
    0.711423	  7.871549E-01
    0.721443	  7.762222E-01
    0.731463	  7.655890E-01
    0.741483	  7.552432E-01
    0.751503	  7.451733E-01
    0.761523	  7.353684E-01
    0.771543	  7.258182E-01
    0.781563	  7.165128E-01
    0.791583	  7.074430E-01
    0.801603	  6.986000E-01
    0.811623	  6.899753E-01
    0.821643	  6.815610E-01
    0.831663	  6.733494E-01
    0.841683	  6.653333E-01
    0.851703	  6.575059E-01
    0.861723	  6.498605E-01
    0.871743	  6.423908E-01
    0.881764	  6.350909E-01
    0.891784	  6.279551E-01
    0.901804	  6.209778E-01
    0.911824	  6.141538E-01
    0.921844	  6.074783E-01
    0.931864	  6.009462E-01
    0.941884	  5.945532E-01
    0.951904	  5.882947E-01
    0.961924	  5.821667E-01
    0.971944	  5.761649E-01
    0.981964	  5.702857E-01
    0.991984	  5.645253E-01
    1.002004	  5.588800E-01
    1.012024	  5.533465E-01
    1.022044	  5.479216E-01
    1.032064	  5.426019E-01
    1.042084	  5.373846E-01
    1.052104	  5.322667E-01
    1.062124	  5.272453E-01
    1.072144	  5.223178E-01
    1.082164	  5.174815E-01
    1.092184	  5.127339E-01
    1.102204	  5.080727E-01
    1.112224	  5.034955E-01
    1.122244	  4.990000E-01
    1.132265	  4.945841E-01
    1.142285	  4.902456E-01
    1.152305	  4.859826E-01
    1.162325	  4.817931E-01
    1.172345	  4.776752E-01
    1.182365	  4.736271E-01
    1.192385	  4.696471E-01
    1.202405	  4.657333E-01
    1.212425	  4.618843E-01
    1.222445	  4.580984E-01
    1.232465	  4.543740E-01
    1.242485	  4.507097E-01
    1.252505	  4.471040E-01
    1.262525	  4.435556E-01
    1.272545	  4.400630E-01
    1.282565	  4.366250E-01
    1.292585	  4.332403E-01
    1.302605	  4.299077E-01
    1.312625	  4.266260E-01
    1.322645	  4.233939E-01
    1.332665	  4.202105E-01
    1.342685	  4.170746E-01
    1.352705	  4.139852E-01
    1.362725	  4.109412E-01
    1.372745	  4.079416E-01
    1.382766	  4.049855E-01
    1.392786	  4.020719E-01
    1.402806	  3.992000E-01
    1.412826	  3.963688E-01
    1.422846	  3.935775E-01
    1.432866	  3.908252E-01
    1.442886	  3.881111E-01
    1.452906	  3.854345E-01
    1.462926	  3.827945E-01
    1.472946	  3.801905E-01
    1.482966	  3.776216E-01
    1.492986	  3.750872E-01
    1.503006	  3.725867E-01
    1.513026	  3.701192E-01
    1.523046	  3.676842E-01
    1.533066	  3.652810E-01
    1.543086	  3.629091E-01
    1.553106	  3.605677E-01
    1.563126	  3.582564E-01
    1.573146	  3.559745E-01
    1.583166	  3.537215E-01
    1.593186	  3.514969E-01
    1.603206	  3.493000E-01
    1.613226	  3.471304E-01
    1.623246	  3.449877E-01
    1.633267	  3.428712E-01
    1.643287	  3.407805E-01
    1.653307	  3.387152E-01
    1.663327	  3.366747E-01
    1.673347	  3.346587E-01
    1.683367	  3.326667E-01
    1.693387	  3.306982E-01
    1.703407	  3.287529E-01
    1.713427	  3.268304E-01
    1.723447	  3.249302E-01
    1.733467	  3.230520E-01
    1.743487	  3.211954E-01
    1.753507	  3.193600E-01
    1.763527	  3.175455E-01
    1.773547	  3.157514E-01
    1.783567	  3.139775E-01
    1.793587	  3.122235E-01
    1.803607	  3.104889E-01
    1.813627	  3.087735E-01
    1.823647	  3.070769E-01
    1.833667	  3.053989E-01
    1.843687	  3.037391E-01
    1.853707	  3.020973E-01
    1.863727	  3.004731E-01
    1.873747	  2.988663E-01
    1.883768	  2.972766E-01
    1.893788	  2.957037E-01
    1.903808	  2.941474E-01
    1.913828	  2.926073E-01
    1.923848	  2.910833E-01
    1.933868	  2.895751E-01
    1.943888	  2.880825E-01
    1.953908	  2.866051E-01
    1.963928	  2.851429E-01
    1.973948	  2.836954E-01
    1.983968	  2.822626E-01
    1.993988	  2.808442E-01
    2.004008	  2.794400E-01
    2.014028	  2.780498E-01
    2.024048	  2.766733E-01
    2.034068	  2.753103E-01
    2.044088	  2.739608E-01
    2.054108	  2.726244E-01
    2.064128	  2.713010E-01
    2.074148	  2.699903E-01
    2.084168	  2.686923E-01
    2.094188	  2.674067E-01
    2.104208	  2.661333E-01
    2.114228	  2.648720E-01
    2.124248	  2.636226E-01
    2.134269	  2.623850E-01
    2.144289	  2.611589E-01
    2.154309	  2.599442E-01
    2.164329	  2.587407E-01
    2.174349	  2.575484E-01
    2.184369	  2.563670E-01
    2.194389	  2.551963E-01
    2.204409	  2.540364E-01
    2.214429	  2.528869E-01
    2.224449	  2.517477E-01
    2.234469	  2.506188E-01
    2.244489	  2.495000E-01
    2.254509	  2.483911E-01
    2.264529	  2.472920E-01
    2.274549	  2.462026E-01
    2.284569	  2.451228E-01
    2.294589	  2.440524E-01
    2.304609	  2.429913E-01
    2.314629	  2.419394E-01
    2.324649	  2.408966E-01
    2.334669	  2.398627E-01
    2.344689	  2.388376E-01
    2.354709	  2.378213E-01
    2.364729	  2.368136E-01
    2.374749	  2.358143E-01
    2.384770	  2.348235E-01
    2.394790	  2.338410E-01
    2.404810	  2.328667E-01
    2.414830	  2.319004E-01
    2.424850	  2.309421E-01
    2.434870	  2.299918E-01
    2.444890	  2.290492E-01
    2.454910	  2.281143E-01
    2.464930	  2.271870E-01
    2.474950	  2.262672E-01
    2.484970	  2.253548E-01
    2.494990	  2.244498E-01
    2.505010	  2.235520E-01
    2.515030	  2.226614E-01
    2.525050	  2.217778E-01
    2.535070	  2.209012E-01
    2.545090	  2.200315E-01
    2.555110	  2.191686E-01
    2.565130	  2.183125E-01
    2.575150	  2.174630E-01
    2.585170	  2.166202E-01
