        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.26558	             0.26558	             0.00000	
               0.100	             0.38580	             0.38504	             6.01167	
               0.110	             0.41939	             0.41850	             7.18753	
               0.120	             0.43332	             0.43215	             8.09666	
               0.130	             0.44117	             0.44010	             8.93264	
               0.140	             0.56385	             0.56204	            12.28532	
               0.150	             0.72536	             0.72221	            16.91397	
               0.160	             0.68439	             0.68188	            17.03404	
               0.170	             0.66518	             0.66282	            17.59265	
               0.180	             0.67959	             0.67724	            19.03282	
               0.190	             0.63199	             0.62966	            18.67871	
               0.200	             0.65636	             0.65395	            20.42047	
               0.210	             0.72588	             0.72284	            23.70010	
               0.220	             0.76583	             0.76238	            26.18687	
               0.230	             0.75240	             0.74909	            26.90000	
               0.240	             0.69455	             0.69141	            25.90821	
               0.250	             0.66995	             0.66720	            26.04260	
               0.260	             0.67524	             0.67233	            27.29247	
               0.270	             0.57522	             0.57235	            24.12783	
               0.280	             0.46740	             0.46545	            20.34780	
               0.290	             0.46736	             0.46537	            21.07106	
               0.300	             0.47600	             0.47370	            22.18767	
               0.310	             0.48207	             0.47969	            23.21715	
               0.320	             0.49937	             0.49761	            24.86169	
               0.330	             0.49143	             0.48969	            25.23058	
               0.340	             0.49708	             0.49527	            26.29121	
               0.350	             0.52720	             0.52500	            28.68894	
               0.360	             0.52101	             0.51871	            29.15527	
               0.370	             0.47640	             0.47421	            27.39426	
               0.380	             0.41654	             0.41480	            24.60988	
               0.390	             0.38824	             0.38613	            23.51206	
               0.400	             0.37977	             0.37778	            23.59302	
               0.410	             0.35853	             0.35654	            22.82361	
               0.420	             0.33808	             0.33608	            22.03831	
               0.430	             0.32768	             0.32582	            21.87430	
               0.440	             0.32490	             0.32300	            22.18934	
               0.450	             0.34137	             0.34009	            23.89410	
               0.460	             0.37105	             0.36961	            26.54534	
               0.470	             0.39382	             0.39219	            28.77929	
               0.480	             0.40786	             0.40619	            30.44090	
               0.490	             0.41221	             0.41054	            31.40791	
               0.500	             0.41004	             0.40829	            31.87308	
               0.510	             0.41161	             0.40982	            32.63237	
               0.520	             0.40604	             0.40397	            32.79720	
               0.530	             0.41178	             0.40953	            33.88874	
               0.540	             0.41566	             0.41359	            34.86982	
               0.550	             0.40783	             0.40600	            34.86424	
               0.560	             0.38913	             0.38747	            33.87800	
               0.570	             0.40317	             0.40117	            35.70224	
               0.580	             0.38849	             0.38630	            34.98146	
               0.590	             0.38170	             0.38032	            35.03413	
               0.600	             0.37542	             0.37414	            35.04848	
               0.610	             0.36849	             0.36715	            34.96690	
               0.620	             0.36046	             0.35911	            34.76224	
               0.630	             0.35184	             0.35045	            34.47085	
               0.640	             0.34306	             0.34166	            34.13962	
               0.650	             0.33458	             0.33321	            33.81577	
               0.660	             0.32706	             0.32564	            33.55623	
